DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,18/08/2024,01:21:07,15,2,9.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,01:50:33,15,2,83.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,02:11:49,15,2,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,02:11:49,15,3,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,02:11:50,15,2,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,02:11:50,15,3,12.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,04:46:01,15,1,14.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,05:13:28,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,05:19:56,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,05:28:42,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,05:37:06,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,05:45:27,15,2,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:00:37,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:00:51,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:02:52,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:08:10,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:12:14,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:14:04,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:15:48,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:15:48,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:15:49,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:06,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:21,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:21,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:22,15,1,36.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:22,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:19:22,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:20:04,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:23:45,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:23:53,15,1,13.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:24:32,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:26:17,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,18/08/2024,06:26:17,15,2,33.0,,,,2,,1.0,Cycle,S
