DATA_TYPE,TIS_DATA_REQUEST,SITE_XN_ROUTE,LOC_LEG,DATE,TIME,CLASS,LANE,SPEED,WHEELBASE,HEADWAY,GAP,AXLE,AXLE_GROUPING,RHO,VEHICLE,DIRECTION
IND,5555,32021,60182,22/01/2023,06:39:09,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:39:14,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:40:58,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:41:04,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:41:32,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:41:32,15,1,25.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:42:08,15,1,23.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:42:32,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:42:32,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:43:50,15,3,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:43:51,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:13,15,2,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:52,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:52,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:52,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:58,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:58,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:59,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:44:59,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:45:00,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:45:22,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:46:46,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:47:23,15,1,16.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:47:25,15,1,18.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:47:27,15,3,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:47:47,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:47:48,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:48:57,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:49:21,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:50:10,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:50:53,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:51:01,15,1,26.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:51:48,15,1,20.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:52:01,15,2,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:52:01,15,3,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:52:02,15,2,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:52:02,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:52:27,15,2,38.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:53:36,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:53:41,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:53:47,15,1,28.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:54:20,15,1,34.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:54:34,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:54:41,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:54:41,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:54:42,15,2,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:56:12,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:56:40,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:11,15,1,24.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:17,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:18,15,1,31.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:18,15,1,30.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:47,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:57:48,15,1,20.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:58:14,15,1,27.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:58:42,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:59:36,15,1,22.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:59:42,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:59:44,15,1,32.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:59:45,15,1,33.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,06:59:49,15,1,29.0,,,,2,,1.0,Cycle,S
IND,5555,32021,60182,22/01/2023,07:00:29,15,1,30.0,,,,2,,1.0,Cycle,S
