"Date","Total_Network_Volume"
2023-12-13,2476
2023-12-14,2451
2023-12-15,3019
2023-12-16,3473
2023-12-17,2899
2023-12-18,1729
2023-12-19,1603
2023-12-20,2664
2023-12-21,2408
2023-12-22,2318
2023-12-23,3590
2023-12-24,2539
2023-12-25,486
2023-12-26,1065
2023-12-27,1866
2023-12-28,1497
2023-12-29,2137
2023-12-30,1336
2023-12-31,2055
2024-01-01,2034
2024-01-02,1451
2024-01-03,751
2024-01-04,1394
2024-01-05,2244
2024-01-06,3631
2024-01-07,1431
2024-01-08,233
2024-01-09,1982
2024-01-10,2044
2024-01-11,1927
2024-01-12,2736
2024-01-13,2441
2024-01-14,2553
2024-01-15,1780
2024-01-16,1906
2024-01-17,1087
2024-01-18,1327
2024-01-19,1437
2024-01-20,3211
2024-01-21,1844
2024-01-22,1063
2024-01-23,2543
2024-01-24,2118
2024-01-25,2127
2024-01-26,1819
2024-01-27,2637
2024-01-28,3077
2024-01-29,1941
2024-01-30,2824
2024-01-31,2334
2024-02-01,2328
2024-02-02,2522
2024-02-03,4548
2024-02-04,3060
2024-02-05,1146
2024-02-06,2244
2024-02-07,3378
2024-02-08,2582
2024-02-09,2325
2024-02-10,3672
2024-02-11,4404
2024-02-12,1217
2024-02-13,1812
2024-02-14,2162
2024-02-15,2609
2024-02-16,2459
2024-02-17,3343
2024-02-18,1945
2024-02-19,1711
2024-02-20,2132
2024-02-21,2138
2024-02-22,1765
2024-02-23,2237
2024-02-24,3158
2024-02-25,2844
2024-02-26,1248
2024-02-27,2654
2024-02-28,1870
2024-02-29,2431
2024-03-01,2762
2024-03-02,2818
2024-03-03,1985
2024-03-04,1429
2024-03-05,2491
2024-03-06,2183
2024-03-07,2286
2024-03-08,2697
2024-03-09,2845
2024-03-10,1643
2024-03-11,2080
2024-03-12,1946
2024-03-13,1351
2024-03-14,2001
2024-03-15,2356
2024-03-16,3566
2024-03-17,2625
2024-03-18,1760
2024-03-19,2040
2024-03-20,1573
2024-03-21,2287
2024-03-22,2542
2024-03-23,2698
2024-03-24,1768
2024-03-25,1323
2024-03-26,2046
2024-03-27,1979
2024-03-28,2171
2024-03-29,3150
2024-03-30,2050
2024-04-01,0
2024-04-02,632
2024-04-03,1146
2024-04-04,1676
2024-04-05,1979
2024-04-06,2715
2024-04-08,1329
2024-04-09,848
2024-04-10,1408
2024-04-11,1420
2024-04-12,1585
2024-04-13,3119
2024-04-14,2423
2024-04-15,1783
2024-04-16,2241
2024-04-17,2340
2024-04-18,1816
2024-04-19,1934
2024-04-20,2908
2024-04-21,2379
2024-04-22,1672
2024-04-23,2361
2024-04-24,1768
2024-04-25,1589
2024-04-26,1372
2024-04-27,2882
2024-04-28,2337
2024-04-29,1165
2024-04-30,1765
2024-05-01,2494
2024-05-02,2418
2024-05-03,2771
2024-05-04,3022
2024-05-05,2538
2024-05-06,1688
2024-05-07,2202
2024-05-08,2208
2024-05-09,2043
2024-05-10,1693
2024-05-11,3473
2024-05-12,8031
2024-05-13,1555
2024-05-14,1891
2024-05-15,2064
2024-05-16,2019
2024-05-17,1891
2024-05-18,2489
2024-05-19,1403
2024-05-20,1005
2024-05-21,1833
2024-05-22,2008
2024-05-23,1991
2024-05-24,1873
2024-05-25,2755
2024-05-26,2627
2024-05-27,1810
2024-05-28,2035
2024-05-29,2341
2024-05-30,1757
2024-05-31,1896
2024-06-01,2431
2024-06-02,2089
2024-06-03,1128
2024-06-04,1748
2024-06-05,1661
2024-06-06,1806
2024-06-07,1785
2024-06-08,2195
2024-06-09,623
2024-06-10,2264
2024-06-11,664
2024-06-13,0
2024-06-14,0
2024-06-15,0
2024-06-16,0
2024-06-17,0
2024-06-18,0
2024-06-19,2061
2024-06-20,1796
2024-06-21,1403
2024-06-22,2195
2024-06-23,2308
2024-06-24,761
2024-06-25,1253
2024-06-26,961
2024-06-27,1624
2024-06-28,1413
2024-06-29,647
2024-06-30,653
2024-07-01,943
2024-07-02,1321
2024-07-03,1469
2024-07-04,1281
2024-07-05,1161
2024-07-06,1758
2024-07-07,2106
2024-07-08,875
2024-07-09,491
2024-07-10,1073
2024-07-11,1149
2024-07-12,1354
2024-07-13,2082
2024-07-14,786
2024-07-15,573
2024-07-16,1433
2024-07-17,1867
2024-07-18,1441
2024-07-19,1423
2024-07-20,600
2024-07-21,1695
2024-07-22,943
2024-07-23,1984
2024-07-24,1772
2024-07-25,1337
2024-07-26,2066
2024-07-27,1408
2024-07-28,730
2024-07-29,933
2024-07-30,2474
2024-07-31,2256
2024-08-01,2362
2024-08-02,2018
2024-08-03,2226
2024-08-04,2465
2024-08-05,1145
2024-08-06,1735
2024-08-07,1889
2024-08-08,1313
2024-08-09,1939
2024-08-10,3819
2024-08-11,3582
2024-08-12,1500
2024-08-13,2326
2024-08-14,2075
2024-08-15,2296
2024-08-16,1258
2024-08-17,1856
2024-08-18,2812
2024-08-19,1603
2024-08-20,1355
2024-08-21,1675
2024-08-22,2151
2024-08-23,1937
2024-08-24,3518
2024-08-25,942
2024-08-26,1183
2024-08-27,1541
2024-08-28,1164
2024-08-29,2082
2024-08-30,1668
2024-08-31,2016
2024-09-01,1618
2024-09-02,472
2024-09-03,2511
2024-09-04,1854
2024-09-05,1737
2024-09-06,1447
2024-09-07,3643
2024-09-08,1862
2024-09-09,979
2024-09-10,2312
2024-09-11,1516
2024-09-12,2063
2024-09-13,1916
2024-09-14,584
2024-09-15,2480
2024-09-16,925
2024-09-17,1898
2024-09-18,1701
2024-09-19,1326
2024-09-20,1667
2024-09-21,2057
2024-09-22,2254
2024-09-23,1235
2024-09-24,2023
2024-09-25,838
2024-09-26,1640
2024-09-28,0
2024-09-29,0
2024-09-30,1532
2024-10-01,1733
2024-10-02,2299
2024-10-03,3160
2024-10-04,1276
2024-10-05,2513
2024-10-06,2521
2024-10-07,966
