_id,SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,SITE_NAME,TFM_DESC,BEARING_DESC,DATA_SRC_CD,RGN_SHORT_NM,Comments
82,40005,70010,-37.78342,145.01666,[-37.783436 +145.016580],D208X40005,(BIKE LANE) HEIDELBERG RD E BD W OF STATION ST,EAST BOUND,ACBYC,METRO NORTH WEST,POP-UP SITE
83,40005,70011,-37.78357,145.01688,[-37.783563 +145.016850],D208X40005,(BIKE LANE) HEIDELBERG RD W BD W OF STATION ST,WEST BOUND,ACBYC,METRO NORTH WEST,POP-UP SITE
84,6588,59479,-37.79335,144.97364,[-37.793007 +144.973646],#N/A,(BIKE PATH) CANNING ST N BD PRINCESS ST OUTSIDE DAN O'CONNELL,NORTH BOUND,ACBYC,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.
85,6588,59480,-37.79333,144.97365,,#N/A,(BIKE PATH) CANNING ST S BD PRINCESS ST OUTSIDE DAN O'CONNELL,SOUTH BOUND,ACBYC,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.
86,32612,61171,-37.94766,145.00051,[-37.947603 +145.000533],D208X32612,(BIKE PATH) BAY TRAIL NO:3 SANDRINGHAM N BD BEACH RD & MILDURA AVE,NORTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
87,32612,61172,-37.94766,145.00051,[-37.947603 +145.000533],D208X32612,(BIKE PATH) BAY TRAIL NO:3 SANDRINGHAM S BD BEACH RD & MILDURA AVE,SOUTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
88,32614,61173,-37.91666,144.98709,[-37.916759 +144.987119],D208X32614,(BIKE PATH) BAY TRAIL NO:2 MIDDLE BRIGHTON N BD 36M NORTH OF KEITH CRT & ESPLANADE,NORTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
89,32614,61174,-37.91666,144.98709,[-37.916759 +144.987119],D208X32614,(BIKE PATH) BAY TRAIL NO:2 MIDDLE BRIGHTON S BD 36M NORTH OF KEITH CRT & ESPLANADE,SOUTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
90,32615,61177,-37.9061,144.98494,[-37.906133 +144.984835], D208X32615,(BIKE PATH) BAY TRAIL NO:1 BRIGHTON N BD OPP PATH TO SEACOMBE GROVE,NORTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
91,32615,61178,-37.9061,144.98494,[-37.906133 +144.984835], D208X32615,(BIKE PATH) BAY TRAIL NO:1 BRIGHTON S BD OPP PATH TO SEACOMBE GROVE,SOUTH BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
92,32616,61175,-37.99504,145.03862,[-37.995028 +145.038631],D208X32616,(BIKE PATH) BAY TRAIL NO:4 NE BD BEAUMARIS OPPOSITE 466 BEACH ROAD,NORTH EAST BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
93,32616,61176,-37.99504,145.03862,[-37.995028 +145.038631],D208X32616,(BIKE PATH) BAY TRAIL NO:4 SW BD BEAUMARIS OPPOSITE 466 BEACH ROAD,SOUTH WEST BOUND,ACBYC,METRO SOUTH EAST,Bayside City Council Site
94,32021,60182,-37.97548,145.0159,[-37.975480 145.01590],D208X32021,(BIKE LANE) BLACK ROCK BEACH ROAD NEAR BLUFF ROAD,SOUTH BOUND,ACBYC,METRO SOUTH EAST,City of Bayside
95,40430,70727,,,,D208X40430,(BIKE LANE) BRUNSWICK ST N OF VICTORIA PDE,NORTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
96,40430,70728,,,,D208X40430,(BIKE LANE) BRUNSWICK ST S OF VICTORIA PDE,SOUTH BOUND,ACBYC,METRO NORTH WEST,COMBINED BIDIRECTIONAL SITE
