Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late,Bike_Path_Dist_m,total_safe_bike_path_meters,Pax_annual_norm,Pax_AM_peak_norm,Bike_Path_Dist_m_norm,Train_Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Frankston Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Alamein Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Belgrave Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Glen Waverly Line
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150,3.080857663216399,6527.519012668268,0.17537237402449213,0.21052631578947367,9.272706226168063e-4,Lilydale Line
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550,6.124393826162657,9009.555192597249,0.6048861992379322,0.42105263157894735,0.0019921100931166126,Mernda Line
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550,6.124393826162657,9009.555192597249,0.6048861992379322,0.42105263157894735,0.0019921100931166126,Hurstbridge Line
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550,6.124393826162657,9009.555192597249,0.6048861992379322,0.42105263157894735,0.0019921100931166126,Craigieburn Line
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550,6.124393826162657,9009.555192597249,0.6048861992379322,0.42105263157894735,0.0019921100931166126,Upfield Line
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550,6.124393826162657,9009.555192597249,0.6048861992379322,0.42105263157894735,0.0019921100931166126,Frankston Line
