Stop_name,Train_Line,Pax_annual,Pax_annual_norm,Pax_AM_peak,Pax_AM_peak_norm,Bike_Path_Dist_m,Bike_Path_Dist_m_norm
Sunbury,Cranbourne Line,691050,0.0350749842084887,850,0.21052631578947367,77.38856219402884,0.02692524551444448
Sunbury,Pakenham Line,691050,0.0350749842084887,850,0.21052631578947367,77.38856219402884,0.02692524551444448
Sunbury,Sunbury Line,691050,0.0350749842084887,850,0.21052631578947367,77.38856219402884,0.02692524551444448
Diggers Rest,Cranbourne Line,165600,0.008308372557409785,300,0.06578947368421052,80.20664476094744,0.027911205722480074
Diggers Rest,Pakenham Line,165600,0.008308372557409785,300,0.06578947368421052,80.20664476094744,0.027911205722480074
Diggers Rest,Sunbury Line,165600,0.008308372557409785,300,0.06578947368421052,80.20664476094744,0.027911205722480074
Stony Point,Stony Point Line,6950,0.0002266845976730444,50,0.0,2858.64178070663,1.0
Crib Point,Stony Point Line,7900,0.0002750779387493123,50,0.0,1120.213573742127,0.3917775665218223
Morradoo,Stony Point Line,3400,4.5846323124885384e-05,50,0.0,47.251825531042805,0.016381330478540637
Bittern,Stony Point Line,8800,0.00032092426187419767,50,0.0,48.74584622282044,0.01690404225759445
Hastings,Stony Point Line,10850,0.0004253519978808811,50,0.0,630.5243243502572,0.2204503953910176
Tyabb,Stony Point Line,4050,7.895755649285817e-05,50,0.0,247.79077021473864,0.08654372456189534
Somerville,Stony Point Line,8050,0.0002827189926034599,50,0.0,44.77918451306185,0.015516229618436472
Baxter,Stony Point Line,2500,0.0,50,0.0,25.027077256787337,0.008605576251444386
Glen Iris,Glen Waverly Line,261300,0.01318336491635593,400,0.09210526315789473,44.37255668374908,0.01537396307738879
Leawarra,Stony Point Line,5500,0.00015282107708295127,50,0.0,14.142949608267399,0.0047975555473687495
Darling,Glen Waverly Line,262650,0.013252134401043258,500,0.11842105263157894,148.0050855079259,0.05163178989843351
East Malvern,Glen Waverly Line,333800,0.016876540945860587,600,0.14473684210526316,58.65799389379561,0.020371997133891893
Holmesglen,Glen Waverly Line,383100,0.01938790064592375,450,0.10526315789473684,105.99235265212391,0.03693282993433862
Jordanville,Glen Waverly Line,388950,0.019685901746235506,750,0.18421052631578946,44.741177362541954,0.015502932088238691
Flagstaff,Mernda Line,3445200,0.17537237402449213,850,0.21052631578947367,3.080857663216399,0.0009272706226168063
Flagstaff,Hurstbridge Line,3445200,0.17537237402449213,850,0.21052631578947367,3.080857663216399,0.0009272706226168063
Flagstaff,Craigieburn Line,3445200,0.17537237402449213,850,0.21052631578947367,3.080857663216399,0.0009272706226168063
Flagstaff,Upfield Line,3445200,0.17537237402449213,850,0.21052631578947367,3.080857663216399,0.0009272706226168063
Flagstaff,Frankston Line,3445200,0.17537237402449213,850,0.21052631578947367,3.080857663216399,0.0009272706226168063
